bytes_transferred,congestion_window
108040,20
108040,26
108040,40
370840,52
529980,52
529980,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,52
560640,26
560640,52
591300,97
689120,194
1222020,388
2303880,775
4531840,1550
6448820,3100
7948240,5262
10964600,1185
13458280,3696
15105160,1634
16354920,2590
19022340,1439
21415280,1819
23469500,1830
25630300,1281
28394080,1291
30716940,1301
32670420,1310
34559660,1319
36448900,1327
38338140,1335
40291620,1343
42245100,1351
44134340,1359
46087820,1366
48107000,1373
50060480,1380
52013960,1387
54033140,1394
56052320,1400
58071500,1406
60103820,1413
62149280,1418
64136340,1424
66196400,1430
68265220,1435
70341340,1441
72426220,1446
73931480,1012
74061420,1014
76791620,1025
78419520,1034
79917480,1041
81415440,1049
82913400,1056
84411360,1062
85975020,1070
87472980,1075
89036640,1082
90600300,1088
92163960,1094
93727620,1100
95291280,1105
96919180,1111
98482840,1116
100110740,1121
101738640,1126
103366540,1131
104994440,1136
106622340,1140
108250240,1145
109878140,1149
111571740,1153
113199640,1157
114893240,1161
116586840,1164
118214740,1168
119908340,1171
121601940,1174
123295540,1177
124989140,1180
126748440,1183
128442040,1186
130135640,1189
131829240,1192
133588540,1194
135282140,1196
137041440,1199
138735040,1201
140494340,1203
142253640,1205
144142880,1207
146032120,1029
146357700,849
149337560,857
150574180,864
151810800,871
153047420,878
154415440,884
155652060,890
156888680,895
158191000,901
159493320,907
160795640,912
162097960,917
163400280,922
164768300,927
166070620,931
167438640,936
168740960,940
170108980,945
171477000,949
172845020,953
174213040,956
175581060,960
177013320,964
178381340,967
179749360,970
181181620,974
182549640,977
183981900,980
185414160,983
186782180,985
188214440,988
189646700,991
191078960,993
192511220,995
193943480,997
195375740,999
196808000,1001
198305960,1003
199738220,1005
201170480,1007
202602740,1008
204100700,1010
205532960,1011
207030920,1012
208463180,1014
209961140,1015
211393400,1016
212891360,1017
214323620,1018
215821580,1019
217253840,1020
218686100,751
218750340,719
221356440,725
222333180,732
223439860,737
224482300,743
225524740,748
226631420,754
227738100,759
228780540,764
229952920,769
231059600,774
232166280,778
233338660,782
234445340,787
235552020,791
236724400,795
237831080,799
239003460,802
240175840,806
241282520,809
242454900,812
243627280,815
244799660,819
245972040,822
247208660,825
248381040,827
249553420,830
250725800,832
251962420,835
253134800,837
254371420,839
255543800,841
256780420,843
258017040,845
259189420,847
260426040,848
261662660,850
262899280,851
264135900,853
265372520,854
266609140,855
267845760,856
269018140,857
270254760,858
271557080,859
272793700,860
274030320,861
275266940,862
276503560,863
277740180,863
278976800,864
280213420,864
281515740,865
282752360,865
283988980,866
285225600,866
286462220,866
287764540,867
289001160,867
290237780,826
291018880,608
292712480,617
293559280,626
294470320,634
295381360,643
296292400,651
297203440,659
298180180,666
299091220,674
300067960,681
301044700,688
302021440,695
302998180,702
304040620,708
305017360,715
306059800,721
307102240,728
308144680,733
309187120,739
310229560,744
311336240,750
312378680,755
313485360,760
314592040,765
315698720,770
316805400,774
317912080,779
319018760,783
320125440,788
321297820,792
322404500,795
323576880,799
324683560,803
325855940,806
327028320,810
328200700,813
329373080,817
330545460,820
331717840,822
332890220,825
334126840,828
335299220,831
336535840,833
337708220,835
338880600,837
340117220,839
341353840,841
342526220,843
343762840,845
344999460,847
346171840,849
347408460,850
348645080,852
349881700,853
351118320,854
352354940,855
353591560,856
354828180,857
356064800,858
357301420,859
358538040,860
359774660,861
361076980,862
362313600,863
363356040,604
363420280,608
365635100,614
366546140,619
367392940,624
368303980,629
369215020,634
370126060,639
371037100,643
371948140,648
372859180,652
373835920,656
374878360,660
375789400,664
376766140,668
377742880,671
378653920,675
379696360,678
380673100,681
381649840,685
382626580,688
383603320,690
