bytes_transferred,congestion_window
108040,20
108040,34
207320,40
397120,68
651160,68
681820,68
681820,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,68
712480,10
712480,20
712480,40
738760,80
874540,160
1264360,320
2045460,640
4064640,1280
6083820,2560
7927800,3769
9498760,4354
12516580,1186
15011720,3058
16413320,3058
19015040,1483
21419660,2150
23592140,2162
25806960,2170
28208660,2170
30531520,2170
32755100,2170
35050220,2170
37243140,1519
39850700,1529
42150200,1539
44376700,1549
46552100,1558
48806340,1568
51009480,1578
53227220,1587
55458100,1596
57766360,1604
60022060,1613
62290900,1621
64571420,1629
66927860,1631
69287220,1631
71646580,1631
74005940,1631
76499620,1631
78641440,1631
80870860,1631
83164520,1631
85523880,1631
87880320,1631
91165320,1010
93445840,1150
94878100,1163
96571700,1176
98265300,1189
99958900,1202
101652500,1214
103411800,1226
105171100,1239
106930400,1250
108753940,1262
110513240,1273
112336780,1284
114226020,1295
116115260,1306
117938800,1316
119828040,1326
121781520,1336
123670760,1346
125624240,1355
127577720,1365
129531200,1374
131484680,1382
133503860,1392
135457340,1400
137498420,1408
139536580,1416
141586420,1424
143582240,1432
145653980,1440
147737400,1447
149765340,1454
151869200,1461
153917580,1468
155976180,1474
158107780,1481
160185360,1487
162335940,1493
164431040,1498
166597680,1504
168773080,1510
170890080,1515
173081540,1520
175280300,1525
177420660,1530
179634020,1535
181788980,1540
184016940,1544
186250740,1549
188426140,1553
190673080,1557
192925860,1561
195118780,1565
197383240,1568
199652080,1572
201861060,1575
204140120,1578
206423560,1582
208712840,1585
210940800,1588
213237380,1590
215536880,1593
217840760,1595
220147560,1598
222394500,1600
225710160,1122
228218440,1133
229912040,1142
231539940,1150
233167840,1158
234861440,1165
236555040,1173
238248640,1180
239942240,1187
241635840,1193
243329440,1200
245088740,1207
246782340,1213
248541640,1219
250300940,1225
252060240,1231
253883780,1237
255643080,1242
257402380,1248
259225920,1253
261049460,1257
262873000,1262
264632300,1267
266521540,1272
268345080,1276
270168620,1280
271992160,1284
273881400,1288
275770640,1292
277594180,1295
279483420,1299
281372660,1302
283261900,1306
285085440,1309
287038920,1312
288928160,1315
290817400,1318
292706640,1321
294595880,1323
296549360,1326
298438600,1328
300327840,1330
302281320,1332
304234800,1334
306124040,1336
308077520,1338
309966760,1340
311920240,1341
313873720,1343
315827200,1344
317780680,1346
319734160,1347
321623400,1348
323576880,1349
325530360,1350
327483840,1351
329437320,1352
331390800,1353
333344280,1354
335297760,1355
337316940,1356
339270420,1357
341223900,1358
343177380,1358
345130860,1359
347084340,1359
349037820,1359
351057000,1360
353010480,1360
354963960,1360
356917440,1361
358936620,1361
360890100,1361
362843580,1361
364797060,1361
366750540,1361
368769720,1361
370723200,1361
372676680,1361
374630160,1361
376649340,1361
378602820,1361
380556300,1361
382509780,1361
384528960,1361
386482440,1361
388435920,1361
390389400,1361
392408580,1361
394362060,1361
396315540,1361
398269020,1361
400288200,1361
402241680,1361
404195160,1361
406148640,1361
408167820,1362
410121300,1362
412074780,1362
414549480,1362
417351220,1363
419957320,1363
421910800,1364
423929980,1364
425883460,1365
427836940,1365
429856120,1366
431809600,1367
433763080,1367
435782260,1368
437735740,1369
439754920,1370
441708400,1371
443661880,1372
445681060,1373
447634540,1374
449653720,1375
451607200,1376
453626380,1378
455645560,1379
457599040,1381
459618220,1383
461637400,1385
463590880,1387
465610060,1389
467629240,1391
469648420,1393
471667600,1395
473686780,1398
475705960,1400
477725140,1403
479744320,1406
481766420,1408
483804580,1411
485847120,1414
487894040,1417
489945340,1421
492002480,1424
493998300,1428
496064200,1432
498135940,1436
500213520,1440
502296940,1444
504386200,1448
506415600,1453
508518000,1457
510626240,1462
512676080,1467
514797460,1472
516926140,1478
518999340,1483
521144080,1489
523233340,1494
525394140,1500
527499460,1506
529677780,1513
531800620,1519
533997920,1526
536139740,1533
538357480,1540
540519740,1547
542757920,1555
544942080,1563
547137920,1570
549409680,1578
551627420,1587
553858300,1595
556165100,1604
558420800,1613
560689640,1623
562973080,1633
565393760,1641
568611600,1152
571051260,1170
572744860,1184
574438460,1198
576132060,1211
577891360,1223
579650660,1235
581409960,1247
583169260,1259
584992800,1271
586816340,1283
588639880,1294
590529120,1305
592418360,1315
594307600,1325
596196840,1336
598086080,1346
600039560,1355
601993040,1365
603946520,1375
605965700,1383
607919180,1393
609938360,1401
611957540,1410
613982560,1418
616035320,1426
618034060,1434
620108720,1442
622195060,1449
624225920,1456
626267000,1463
628382540,1470
630444060,1477
632580040,1484
634662000,1491
636818420,1498
638920820,1503
641094760,1510
643213220,1515
645404680,1521
647539200,1526
649746720,1532
651963000,1537
654120880,1542
656351760,1547
658589940,1552
660769720,1556
663021040,1560
665212500,1564
667475500,1569
669745800,1573
671956240,1576
674236760,1580
676523120,1584
678813860,1587
681044740,1591
683345700,1594
685651040,1597
687896520,1599
690209160,1602
692526180,1605
694847580,1607
697171900,1610
699436360,1612
701767980,1614
704064560,1617
707349560,1010
709630080,1138
711062340,1147
712755940,1155
714383840,1163
716077440,1170
717771040,1178
719464640,1185
721158240,1192
722851840,1199
724611140,1206
726304740,1214
728064040,1221
729823340,1227
731582640,1233
733341940,1238
735165480,1245
736924780,1250
738748320,1256
740571860,1261
742395400,1266
744218940,1271
746042480,1276
747866020,1280
749689560,1285
751578800,1289
753468040,1293
755291580,1297
757180820,1301
759070060,1304
760959300,1308
762848540,1312
764737780,1315
766627020,1319
768516260,1321
770469740,1325
772358980,1327
774248220,1331
776201700,1333
778090940,1336
780044420,1338
781997900,1341
783887140,1343
785840620,1345
787794100,1347
789747580,1349
791701060,1351
793654540,1352
795608020,1354
797561500,1356
799514980,1357
801468460,1358
803421940,1360
805441120,1361
807394600,1362
809348080,1363
811301560,1364
813320740,1365
815274220,1366
817227700,1367
819246880,1368
821200360,1369
823153840,1370
825173020,1371
827126500,1371
829145680,1372
831099160,1372
833118340,1372
835071820,1373
837091000,1373
839044480,1373
841063660,1374
843017140,1374
845036320,1374
846989800,1374
849008980,1374
850962460,1374
852981640,1374
854935120,1374
856954300,1374
858907780,1374
860926960,1374
862880440,1374
864899620,1374
866918800,1374
868872280,1374
870891460,1374
872844940,1374
874864120,1374
876817600,1374
878836780,1374
880790260,1374
882809440,1374
884762920,1374
886782100,1374
888735580,1374
890754760,1374
892708240,1374
894727420,1374
896746600,1375
898700080,1375
900719260,1375
902672740,1376
904691920,1376
906645400,1377
908664580,1378
911204980,1378
913745380,1379
916220080,1379
918630540,1380
920649720,1381
922603200,1382
924622380,1383
926641560,1384
928595040,1385
930614220,1386
932633400,1387
934652580,1388
936671760,1389
938625240,1390
940644420,1392
942663600,1394
944682780,1395
946701960,1397
948721140,1399
950743240,1401
952771180,1403
954802040,1406
956837280,1408
958875440,1410
960916520,1413
962961980,1416
965011820,1418
967064580,1421
969121720,1424
971117540,1426
973180520,1430
975249340,1433
977322540,1437
979401580,1440
981485000,1444
